city,temperature,feels_like,humidity,wind_speed,description,timestamp
Delhi,25.07,26.03,92,5.11,overcast clouds,2025-09-01 15:53:08
Mumbai,27.09,30.24,83,8.41,scattered clouds,2025-09-01 15:53:08
Pune,24.43,25.15,85,7.31,broken clouds,2025-09-01 15:53:08
Nagpur,25.29,26.22,90,3.46,overcast clouds,2025-09-01 15:53:09
Bangalore,26.62,26.62,67,6.59,overcast clouds,2025-09-01 15:53:09
Chennai,33.05,40.05,69,4.25,overcast clouds,2025-09-01 15:53:09
Kolkata,33.98,40.98,59,0.93,overcast clouds,2025-09-01 15:53:09
Hyderabad,26.47,26.47,75,6.52,overcast clouds,2025-09-01 15:53:09
Delhi,25.07,26.03,92,5.11,overcast clouds,2025-09-01 15:53:39
Mumbai,27.09,30.24,83,8.41,scattered clouds,2025-09-01 15:53:39
Pune,24.43,25.15,85,7.31,broken clouds,2025-09-01 15:53:39
Nagpur,25.29,26.22,90,3.46,overcast clouds,2025-09-01 15:53:39
Bangalore,26.62,26.62,67,6.59,overcast clouds,2025-09-01 15:53:39
Chennai,33.05,40.05,69,4.25,overcast clouds,2025-09-01 15:53:39
Kolkata,33.98,40.98,59,0.93,overcast clouds,2025-09-01 15:53:39
Hyderabad,26.47,26.47,75,6.52,overcast clouds,2025-09-01 15:53:40
Delhi,25.07,26.03,92,5.11,overcast clouds,2025-09-01 15:54:10
Mumbai,27.09,30.24,83,8.41,scattered clouds,2025-09-01 15:54:10
Pune,24.43,25.15,85,7.31,broken clouds,2025-09-01 15:54:10
Nagpur,25.29,26.22,90,3.46,overcast clouds,2025-09-01 15:54:10
Bangalore,26.62,26.62,67,6.59,overcast clouds,2025-09-01 15:54:10
Chennai,33.05,40.05,69,4.25,overcast clouds,2025-09-01 15:54:10
Kolkata,33.98,40.98,59,0.93,overcast clouds,2025-09-01 15:54:10
Hyderabad,26.55,26.55,73,6.52,overcast clouds,2025-09-01 15:54:10
Delhi,25.07,26.03,92,5.11,overcast clouds,2025-09-01 15:54:40
Mumbai,27.09,30.24,83,8.41,scattered clouds,2025-09-01 15:54:40
Pune,24.43,25.15,85,7.31,broken clouds,2025-09-01 15:54:40
Nagpur,25.25,26.29,94,3.46,overcast clouds,2025-09-01 15:54:41
Bangalore,26.62,26.62,67,6.59,overcast clouds,2025-09-01 15:54:41
Chennai,33.05,40.05,69,4.25,overcast clouds,2025-09-01 15:54:41
Kolkata,33.98,40.98,59,0.93,overcast clouds,2025-09-01 15:54:41
Hyderabad,26.55,26.55,73,6.52,overcast clouds,2025-09-01 15:54:41
Delhi,25.07,26.03,92,5.11,light rain,2025-09-01 15:55:11
Mumbai,27.09,30.24,83,8.41,scattered clouds,2025-09-01 15:55:11
Pune,24.34,25.05,85,7.31,broken clouds,2025-09-01 15:55:11
Nagpur,25.25,26.29,94,3.46,overcast clouds,2025-09-01 15:55:11
Bangalore,26.62,26.62,67,6.59,overcast clouds,2025-09-01 15:55:11
Chennai,33.05,40.05,69,4.25,overcast clouds,2025-09-01 15:55:11
